# Amplitude1 Amplitude2 Frequency logL logPrior
1.959029044641689765e+01 1.165390236034051696e+01 5.909779921204852293e+00 5.943271195792031940e+05 0.000000000000000000e+00
1.915078581484376130e+01 1.323191786994893526e+01 9.793966481739971641e+00 5.944663057622864144e+05 0.000000000000000000e+00
1.118366145660278832e+01 1.931720856564863809e+01 6.798722105490908163e+00 5.945177757793335477e+05 0.000000000000000000e+00
1.825607070695763667e+01 1.515335791723190972e+01 6.919887590681200962e+00 5.945397007397585548e+05 0.000000000000000000e+00
1.275661269364540473e+01 1.894152673563115030e+01 6.050215384599453294e+00 5.950046840934413485e+05 0.000000000000000000e+00
1.173319165312589263e+01 1.946258521456050516e+01 6.254911676129385256e+00 5.950104921249980107e+05 0.000000000000000000e+00
1.620201325035410989e+01 1.666317277640943217e+01 8.038911985443085939e+00 5.951079457708112895e+05 0.000000000000000000e+00
1.918854422061058429e+01 1.244856291289881867e+01 6.489080306192514414e+00 5.951975592185211135e+05 0.000000000000000000e+00
1.946891919086755252e+01 1.228011773236896786e+01 5.946327032678136781e+00 5.952344959885886637e+05 0.000000000000000000e+00
1.577567765039768410e+01 1.623594038796488803e+01 6.586476352171616533e+00 5.953503329281767365e+05 0.000000000000000000e+00
1.736430970955610675e+01 1.545650569143774966e+01 9.708162618342727868e+00 5.953882228313620435e+05 0.000000000000000000e+00
1.907112555383407226e+01 1.329161944578308940e+01 5.618628196383009588e+00 5.954948038565705065e+05 0.000000000000000000e+00
1.913652405758555730e+01 1.531838550159200985e+01 7.080974267333755456e+00 5.955350203199716052e+05 0.000000000000000000e+00
1.468573084223342740e+01 1.759531539422115287e+01 8.391770149013311197e+00 5.956186354679906508e+05 0.000000000000000000e+00
1.895511097055779004e+01 1.260559369595750212e+01 5.858951132205464596e+00 5.957301677366996882e+05 0.000000000000000000e+00
1.681226745320838845e+01 1.600502752853804012e+01 9.214296430653268644e+00 5.957952739940464962e+05 0.000000000000000000e+00
1.847008001798478460e+01 1.211498139253983197e+01 6.611685087169330011e+00 5.959869742667491082e+05 0.000000000000000000e+00
1.249666492620051450e+01 1.904312561570689866e+01 9.472903911432419832e+00 5.962622644743805286e+05 0.000000000000000000e+00
1.885030517043625053e+01 1.309020373410298355e+01 8.952779368536635474e+00 5.962625612731979927e+05 0.000000000000000000e+00
